"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFTS_00039",0,NA,NA,NA,NA,NA
"LFTS_00040",5.22959689467801,-0.460875426191229,1.03245655473244,-0.446387234483358,0.655317552336931,0.805551856625805
"LFTS_00041",0.0530542879359362,1.69666201419798,4.56039799273687,0.372042531572941,0.709861182973796,NA
"LFTS_00042",20.3858561868606,-1.99615189437316,0.626995001458078,-3.18368071472835,0.00145415311913053,0.00866154158126175
"LFTS_00043",56.437176747675,-0.906122024457919,0.417164668686813,-2.17209675812261,0.0298483654604776,0.0975125883569389
"LFTS_00044",198.338178195952,-1.249536670009,0.266300205469897,-4.69221068682297,2.7026858248734e-06,3.75627521423083e-05
"LFTS_00045",27.1743521437117,0.0118667885187153,0.507161559721409,0.0233984384093185,0.981332450635033,0.988161206943177
"LFTS_00046",56.1036119686524,-0.713364511854195,0.388276756779955,-1.83725783065216,0.066171841991846,0.179870421325902
"LFTS_00047",547.073074872592,-0.0117658288244286,0.187187303093836,-0.0628559129276543,0.94988124177194,0.976068443926054
"LFTS_00048",61.4210821715712,-0.56570012671611,0.340520560243227,-1.66128038292913,0.0966571480046852,0.235422360486659
"LFTS_00049",17.2265275563559,0.186337850832433,0.677252536677632,0.275137914944611,0.783210283322361,0.885849845507116
"LFTS_00050",143.850696193882,-0.615358481835097,0.246710055432944,-2.49425780702462,0.0126220831321839,0.0514930754646306
